Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
31832,4844,29729,8262,0.41180419921875,0.3275604248046875,1.0464052602170519e-290,2.7513968418908608,0.9976936208148917,1.4317206347966614e-204,1789.9307181204813,1,186,v3,nsF5,2,0.85,0.2139
31406,4183,30012,7935,0.4153900146484375,0.3368682861328125,1.4463164204926398e-282,2.7016764601574894,0.9882077150185189,3.393118633769147e-156,1749.5720043970575,1,186,v4,matrix,3,0.5,0.0629
24080,7946,23311,11151,0.246185302734375,0.185546875,4.31537019850036e-114,2.7651935896733097,0.9972288460090915,3.1981273840098254e-59,888.4956041007042,1,186,v5,matrix,2,0.8,0.2002
32837,11026,26537,9602,0.3328094482421875,0.2584075927734375,4.208117726596051e-93,3.6206690619292674,0.9994341882184405,1.4126926003541417e-41,774.6014127616374,0,187,clean,,,,
32448,11194,26181,9707,0.324310302734375,0.251373291015625,5.2899341083853615e-86,3.6282228827084992,0.9995308389191819,5.124654343185943e-41,735.3814474762395,1,187,v0,nsF5,3,0.25,0.0313
32099,11381,25750,9790,0.316131591796875,0.2435302734375,4.9541650392725054e-85,3.636548341740235,0.9996563870529729,7.210903724010218e-40,729.9818986991852,1,187,v1,nsF5,3,0.55,0.0691
32104,11369,25775,9859,0.3163909912109375,0.24285888671875,1.638847506644212e-89,3.6406510785075796,0.9997286742737767,6.611364032343132e-37,754.8168564131109,1,187,v2,nsF5,2,0.35,0.0879
31369,11804,24905,10117,0.2985382080078125,0.22564697265625,5.773283284842648e-76,3.65840951854251,0.9999631883641134,1.0862829426127284e-33,679.1698275184266,1,187,v3,nsF5,2,0.85,0.2139
30519,12151,24471,10492,0.2802734375,0.2133026123046875,1.0015182241005867e-63,3.6380861690288784,0.9996327640070377,5.090173059913835e-28,609.1487171166983,1,187,v4,matrix,3,0.5,0.0624
26564,14593,21157,12508,0.1826629638671875,0.1319732666015625,2.7274885659003676e-21,3.6697665908051738,0.9999500099480436,4.432764101830421e-07,341.1194898734916,1,187,v5,matrix,2,0.8,0.2004
35621,9044,29599,8321,0.4055328369140625,0.324676513671875,1.9454955775724244e-189,3.380265792812989,0.9965951012657945,1.0287315348193986e-113,1281.5295827155046,0,188,clean,,,,
35029,9278,29102,8459,0.3929290771484375,0.3149871826171875,3.27592653161586e-177,3.391690222008788,0.9973626607495134,6.472532779817131e-102,1218.9259444461388,1,188,v0,nsF5,3,0.25,0.0315
34512,9518,28525,8690,0.381378173828125,0.3026580810546875,1.8076591576018356e-160,3.4024072380157104,0.998260304314202,7.375129410869578e-89,1132.5882246982474,1,188,v1,nsF5,3,0.55,0.0692
34322,9551,28325,8680,0.3779754638671875,0.2997589111328125,5.827710129381303e-161,3.408188310952222,0.9984030250817637,3.934653985380138e-86,1135.1346205771342,1,188,v2,nsF5,2,0.35,0.0874
32880,10376,26804,9203,0.3433837890625,0.2685699462890625,2.363890518085886e-138,3.4324632330435025,0.999584883162878,7.823163163195789e-69,1017.2313527729434,1,188,v3,nsF5,2,0.85,0.2135
32521,10306,26810,9378,0.3389739990234375,0.2659912109375,2.82895095043038e-131,3.4021392384751636,0.9980751569791582,8.955291830679241e-72,979.9409038264821,1,188,v4,matrix,3,0.5,0.0627
26898,13241,22140,11762,0.2083892822265625,0.158355712890625,9.693533696345293e-51,3.4454029113071107,0.9995106538371996,7.446474803038321e-23,532.4712468753994,1,188,v5,matrix,2,0.8,0.2000
25379,8992,23700,11797,0.2500457763671875,0.1816253662109375,2.7659226568168508e-170,4.204678197322428,0.9990029167446337,3.5868765294748315e-130,1183.2973139288058,0,189,clean,,,,
25214,9125,23388,11841,0.2454986572265625,0.1761932373046875,8.031988057140397e-170,4.205660026548326,0.9992698772440893,5.576550033767658e-130,1180.9113600021365,1,189,v0,nsF5,3,0.25,0.0321
24969,9287,23048,11883,0.239288330078125,0.1703643798828125,1.180221859375446e-161,4.206719927000359,0.9994409642997384,1.0428812880432958e-124,1138.725656080852,1,189,v1,nsF5,3,0.55,0.0701
24803,9332,22989,11967,0.2360687255859375,0.168182373046875,9.932773857521714e-138,4.206876219055696,0.9995015622925361,1.8443950876892596e-113,1013.954677563194,1,189,v2,nsF5,2,0.35,0.0891
24287,9744,22454,12121,0.2219085693359375,0.1576690673828125,2.7829253434342594e-117,4.207286794515422,0.9998751475464103,1.5929474539361913e-94,905.582407880987,1,189,v3,nsF5,2,0.85,0.2157
23615,9864,22006,12358,0.2098236083984375,0.147216796875,2.864289500467786e-134,4.2082328386367625,0.9994191057957793,1.141812956247048e-100,995.7424793777682,1,189,v4,matrix,3,0.5,0.0628
20403,11718,19517,13695,0.1325225830078125,0.088836669921875,6.1463825601154195e-52,4.214758071761435,0.9998517236699522,1.662669511463671e-41,539.6719599778997,1,189,v5,matrix,2,0.8,0.1998
25866,13258,21453,12447,0.1923828125,0.137420654296875,2.628561063791991e-65,4.634662202078875,0.9999757805847199,1.2419969724405869e-46,618.3005276865581,0,190,clean,,,,
25782,13316,21372,12507,0.190216064453125,0.1352691650390625,6.065216433144706e-52,4.6354259194670595,0.9999717946008542,1.6602238656886265e-39,539.7065943294904,1,190,v0,nsF5,3,0.25,0.0317
25556,13358,21199,12507,0.186126708984375,0.13262939453125,2.2511053060291468e-45,4.636340416680494,0.9999720697756107,2.2326304177119417e-33,499.8297224817966,1,190,v1,nsF5,3,0.55,0.0697
25698,13467,21103,12548,0.1866302490234375,0.1305389404296875,7.97103526701882e-41,4.636860856226852,0.999991968584131,4.7823123472200905e-31,471.59352658895915,1,190,v2,nsF5,2,0.35,0.0887
25606,13552,20946,12702,0.183929443359375,0.12579345703125,5.900193959486078e-28,4.638168597899315,0.9999933228731555,1.2182932680004453e-21,387.8589807424717,1,190,v3,nsF5,2,0.85,0.2151
24642,13838,20618,12924,0.16485595703125,0.117401123046875,5.556135441654744e-41,4.637259369599113,0.9999718979494656,3.2214036211148088e-31,472.5761103161633,1,190,v4,matrix,3,0.5,0.0628
22716,15441,19040,14006,0.1110076904296875,0.076812744140625,1.0330759043132372e-09,4.6427022919890355,0.9999882707858052,7.192654396857985e-09,248.21101312298336,1,190,v5,matrix,2,0.8,0.2005
30931,9734,25539,10012,0.3234405517578125,0.2369232177734375,0.0,3.3124254288133037,0.9997351592514163,3.1180629515616965e-276,2125.3846794170786,0,191,clean,,,,
30761,9846,25280,10146,0.3191375732421875,0.230926513671875,0.0,3.3201009846554053,0.9997950440329306,1.2457028759168435e-266,2047.5698532927677,1,191,v0,nsF5,3,0.25,0.0313
30575,10030,25012,10313,0.3134918212890625,0.2242889404296875,1.3661761e-316,3.328126469483273,0.9998509319925684,3.5579321329087412e-245,1917.81713457282,1,191,v1,nsF5,3,0.55,0.0690
30341,10136,24915,10142,0.3083038330078125,0.2254180908203125,0.0,3.3317059033551755,0.9998793199060647,1.0065765807685713e-257,1959.9349855018472,1,191,v2,nsF5,2,0.35,0.0888
29857,10577,24254,10406,0.294189453125,0.2113037109375,3.568075486783835e-291,3.3502298685322693,0.9999678005162556,1.54350333358531e-225,1792.2451804824684,1,191,v3,nsF5,2,0.85,0.2152
28989,10794,23836,10918,0.2776336669921875,0.197113037109375,1.088732569370505e-261,3.3285449093459776,0.9998289297373308,4.237490093465209e-201,1645.731790626556,1,191,v4,matrix,3,0.5,0.0622
25118,13320,20643,12634,0.180023193359375,0.1222076416015625,7.435937817372946e-111,3.364096880401615,0.9999614347073854,6.8492195856382075e-84,871.108171589455,1,191,v5,matrix,2,0.8,0.2004
